trust_code,trust_name,total_attendances,within_4hrs,source_file,compliance_pct
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",44421.0,33371.0,October-2025-AE-by-provider-lFUBF.xls,75.12
QHL,NHS Birmingham And Solihull Integrated Care Board,56243.0,40790.0,October-2025-AE-by-provider-lFUBF.xls,72.52
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",37807.0,27222.0,October-2025-AE-by-provider-lFUBF.xls,72.0
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",58366.0,45368.0,October-2025-AE-by-provider-lFUBF.xls,77.73
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,38306.0,27490.0,October-2025-AE-by-provider-lFUBF.xls,71.76
QYG,NHS Cheshire And Merseyside Integrated Care Board,131354.0,94470.0,October-2025-AE-by-provider-lFUBF.xls,71.92
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,18281.0,14668.0,October-2025-AE-by-provider-lFUBF.xls,80.24
QWU,NHS Coventry And Warwickshire Integrated Care Board,39322.0,29188.0,October-2025-AE-by-provider-lFUBF.xls,74.23
QHM,NHS North East And North Cumbria Integrated Care Board,150315.0,115980.0,October-2025-AE-by-provider-lFUBF.xls,77.16
QJK,NHS Devon Integrated Care Board,48121.0,33012.0,October-2025-AE-by-provider-lFUBF.xls,68.6
QVV,NHS Dorset Integrated Care Board,28615.0,20910.0,October-2025-AE-by-provider-lFUBF.xls,73.07
QMF,NHS North East London Integrated Care Board,96560.0,73356.0,October-2025-AE-by-provider-lFUBF.xls,75.97
QNQ,NHS Frimley Integrated Care Board,37369.0,27486.0,October-2025-AE-by-provider-lFUBF.xls,73.55
QR1,NHS Gloucestershire Integrated Care Board,23093.0,17671.0,October-2025-AE-by-provider-lFUBF.xls,76.52
QOP,NHS Greater Manchester Integrated Care Board,133272.0,91786.0,October-2025-AE-by-provider-lFUBF.xls,68.87
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,69550.0,51062.0,October-2025-AE-by-provider-lFUBF.xls,73.42
QE1,NHS Lancashire And South Cumbria Integrated Care Board,80073.0,60954.0,October-2025-AE-by-provider-lFUBF.xls,76.12
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,27261.0,17332.0,October-2025-AE-by-provider-lFUBF.xls,63.58
QM7,NHS Hertfordshire And West Essex Integrated Care Board,48979.0,39050.0,October-2025-AE-by-provider-lFUBF.xls,79.73
QOQ,NHS Humber And North Yorkshire Integrated Care Board,68817.0,48898.0,October-2025-AE-by-provider-lFUBF.xls,71.06
QJ2,NHS Derby And Derbyshire Integrated Care Board,55585.0,41714.0,October-2025-AE-by-provider-lFUBF.xls,75.05
QKS,NHS Kent And Medway Integrated Care Board,99731.0,80690.0,October-2025-AE-by-provider-lFUBF.xls,80.91
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",34781.0,25043.0,October-2025-AE-by-provider-lFUBF.xls,72.0
QJM,NHS Lincolnshire Integrated Care Board,30160.0,22693.0,October-2025-AE-by-provider-lFUBF.xls,75.24
QH8,NHS Mid And South Essex Integrated Care Board,35360.0,26044.0,October-2025-AE-by-provider-lFUBF.xls,73.65
QMM,NHS Norfolk And Waveney Integrated Care Board,37133.0,27872.0,October-2025-AE-by-provider-lFUBF.xls,75.06
QMJ,NHS North Central London Integrated Care Board,73942.0,57141.0,October-2025-AE-by-provider-lFUBF.xls,77.28
QRV,NHS North West London Integrated Care Board,108695.0,85335.0,October-2025-AE-by-provider-lFUBF.xls,78.51
QPM,NHS Northamptonshire Integrated Care Board,32524.0,23819.0,October-2025-AE-by-provider-lFUBF.xls,73.24
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,42762.0,27343.0,October-2025-AE-by-provider-lFUBF.xls,63.94
QKK,NHS South East London Integrated Care Board,80502.0,61162.0,October-2025-AE-by-provider-lFUBF.xls,75.98
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",16771.0,10514.0,October-2025-AE-by-provider-lFUBF.xls,62.69
QSL,NHS Somerset Integrated Care Board,21216.0,15053.0,October-2025-AE-by-provider-lFUBF.xls,70.95
QWE,NHS South West London Integrated Care Board,61275.0,45812.0,October-2025-AE-by-provider-lFUBF.xls,74.76
QF7,NHS South Yorkshire Integrated Care Board,62891.0,45369.0,October-2025-AE-by-provider-lFUBF.xls,72.14
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,26522.0,17454.0,October-2025-AE-by-provider-lFUBF.xls,65.81
QJG,NHS Suffolk And North East Essex Integrated Care Board,33619.0,23523.0,October-2025-AE-by-provider-lFUBF.xls,69.97
QXU,NHS Surrey Heartlands Integrated Care Board,35627.0,24699.0,October-2025-AE-by-provider-lFUBF.xls,69.33
QNX,NHS Sussex Integrated Care Board,67169.0,51759.0,October-2025-AE-by-provider-lFUBF.xls,77.06
QUA,NHS Black Country Integrated Care Board,76517.0,58525.0,October-2025-AE-by-provider-lFUBF.xls,76.49
QWO,NHS West Yorkshire Integrated Care Board,96686.0,74135.0,October-2025-AE-by-provider-lFUBF.xls,76.68
-,-,2310222.0,1733831.0,September-2025-AE-by-provider-eEVFy-revised.xls,75.05
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",31262.0,21521.0,September-2025-AE-by-provider-eEVFy-revised.xls,68.84
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",41585.0,31807.0,September-2025-AE-by-provider-eEVFy-revised.xls,76.49
QHL,NHS Birmingham And Solihull Integrated Care Board,55506.0,41130.0,September-2025-AE-by-provider-eEVFy-revised.xls,74.1
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",36225.0,27222.0,September-2025-AE-by-provider-eEVFy-revised.xls,75.15
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",57443.0,44545.0,September-2025-AE-by-provider-eEVFy-revised.xls,77.55
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,37586.0,26797.0,September-2025-AE-by-provider-eEVFy-revised.xls,71.3
QYG,NHS Cheshire And Merseyside Integrated Care Board,123143.0,89235.0,September-2025-AE-by-provider-eEVFy-revised.xls,72.46
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,18460.0,15132.0,September-2025-AE-by-provider-eEVFy-revised.xls,81.97
QWU,NHS Coventry And Warwickshire Integrated Care Board,36987.0,27633.0,September-2025-AE-by-provider-eEVFy-revised.xls,74.71
QHM,NHS North East And North Cumbria Integrated Care Board,144278.0,112933.0,September-2025-AE-by-provider-eEVFy-revised.xls,78.27
QJK,NHS Devon Integrated Care Board,46875.0,31994.0,September-2025-AE-by-provider-eEVFy-revised.xls,68.25
QVV,NHS Dorset Integrated Care Board,27945.0,20576.0,September-2025-AE-by-provider-eEVFy-revised.xls,73.63
QMF,NHS North East London Integrated Care Board,91344.0,70808.0,September-2025-AE-by-provider-eEVFy-revised.xls,77.52
QNQ,NHS Frimley Integrated Care Board,35876.0,26222.0,September-2025-AE-by-provider-eEVFy-revised.xls,73.09
QR1,NHS Gloucestershire Integrated Care Board,22735.0,17367.0,September-2025-AE-by-provider-eEVFy-revised.xls,76.39
QOP,NHS Greater Manchester Integrated Care Board,126072.0,88322.0,September-2025-AE-by-provider-eEVFy-revised.xls,70.06
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,67096.0,51460.0,September-2025-AE-by-provider-eEVFy-revised.xls,76.7
QE1,NHS Lancashire And South Cumbria Integrated Care Board,75042.0,57214.0,September-2025-AE-by-provider-eEVFy-revised.xls,76.24
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,27082.0,17257.0,September-2025-AE-by-provider-eEVFy-revised.xls,63.72
QM7,NHS Hertfordshire And West Essex Integrated Care Board,47772.0,38643.0,September-2025-AE-by-provider-eEVFy-revised.xls,80.89
QOQ,NHS Humber And North Yorkshire Integrated Care Board,67091.0,48111.0,September-2025-AE-by-provider-eEVFy-revised.xls,71.71
QJ2,NHS Derby And Derbyshire Integrated Care Board,53688.0,40596.0,September-2025-AE-by-provider-eEVFy-revised.xls,75.61
QKS,NHS Kent And Medway Integrated Care Board,97272.0,80026.0,September-2025-AE-by-provider-eEVFy-revised.xls,82.27
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",41779.0,32179.0,September-2025-AE-by-provider-eEVFy-revised.xls,77.02
QJM,NHS Lincolnshire Integrated Care Board,29268.0,21927.0,September-2025-AE-by-provider-eEVFy-revised.xls,74.92
QH8,NHS Mid And South Essex Integrated Care Board,34290.0,25447.0,September-2025-AE-by-provider-eEVFy-revised.xls,74.21
QMM,NHS Norfolk And Waveney Integrated Care Board,36566.0,27151.0,September-2025-AE-by-provider-eEVFy-revised.xls,74.25
QMJ,NHS North Central London Integrated Care Board,69720.0,53577.0,September-2025-AE-by-provider-eEVFy-revised.xls,76.85
QRV,NHS North West London Integrated Care Board,103970.0,82527.0,September-2025-AE-by-provider-eEVFy-revised.xls,79.38
QPM,NHS Northamptonshire Integrated Care Board,31197.0,23242.0,September-2025-AE-by-provider-eEVFy-revised.xls,74.5
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,40859.0,27232.0,September-2025-AE-by-provider-eEVFy-revised.xls,66.65
QKK,NHS South East London Integrated Care Board,78762.0,59423.0,September-2025-AE-by-provider-eEVFy-revised.xls,75.45
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",16417.0,10408.0,September-2025-AE-by-provider-eEVFy-revised.xls,63.4
QSL,NHS Somerset Integrated Care Board,21137.0,14968.0,September-2025-AE-by-provider-eEVFy-revised.xls,70.81
QWE,NHS South West London Integrated Care Board,59293.0,44033.0,September-2025-AE-by-provider-eEVFy-revised.xls,74.26
QF7,NHS South Yorkshire Integrated Care Board,59604.0,43824.0,September-2025-AE-by-provider-eEVFy-revised.xls,73.53
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,24693.0,16693.0,September-2025-AE-by-provider-eEVFy-revised.xls,67.6
QJG,NHS Suffolk And North East Essex Integrated Care Board,34342.0,24363.0,September-2025-AE-by-provider-eEVFy-revised.xls,70.94
QXU,NHS Surrey Heartlands Integrated Care Board,34587.0,24550.0,September-2025-AE-by-provider-eEVFy-revised.xls,70.98
QNX,NHS Sussex Integrated Care Board,64847.0,50061.0,September-2025-AE-by-provider-eEVFy-revised.xls,77.2
QUA,NHS Black Country Integrated Care Board,68685.0,54056.0,September-2025-AE-by-provider-eEVFy-revised.xls,78.7
QWO,NHS West Yorkshire Integrated Care Board,91841.0,71619.0,September-2025-AE-by-provider-eEVFy-revised.xls,77.98
