trust_code,trust_name,total_attendances,within_4hrs,source_file,compliance_pct
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",36120.0,24959.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,69.1
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",56725.0,40942.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,72.18
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,36892.0,24266.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,65.78
QYG,NHS Cheshire And Merseyside Integrated Care Board,122020.0,88323.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,72.38
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,16471.0,12759.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,77.46
QWU,NHS Coventry And Warwickshire Integrated Care Board,37721.0,25274.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,67.0
QHM,NHS North East And North Cumbria Integrated Care Board,143315.0,108497.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,75.71
QJK,NHS Devon Integrated Care Board,43258.0,29601.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,68.43
QVV,NHS Dorset Integrated Care Board,25862.0,18867.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,72.95
QMF,NHS North East London Integrated Care Board,90589.0,68031.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,75.1
QNQ,NHS Frimley Integrated Care Board,33836.0,23487.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,69.41
QR1,NHS Gloucestershire Integrated Care Board,20931.0,15813.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,75.55
QOP,NHS Greater Manchester Integrated Care Board,126906.0,82033.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,64.64
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,64937.0,45944.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,70.75
QE1,NHS Lancashire And South Cumbria Integrated Care Board,73827.0,56156.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,76.06
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,26046.0,14929.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,57.32
QM7,NHS Hertfordshire And West Essex Integrated Care Board,47240.0,32914.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,69.67
QOQ,NHS Humber And North Yorkshire Integrated Care Board,64791.0,45478.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,70.19
QJ2,NHS Derby And Derbyshire Integrated Care Board,55100.0,40826.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,74.09
QKS,NHS Kent And Medway Integrated Care Board,95518.0,76899.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,80.51
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",39164.0,28537.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,72.87
QJM,NHS Lincolnshire Integrated Care Board,29092.0,21194.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,72.85
QH8,NHS Mid And South Essex Integrated Care Board,36248.0,25403.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,70.08
QMM,NHS Norfolk And Waveney Integrated Care Board,37108.0,27029.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,72.84
